Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-Jun-2020

No	Cation	Anion	Solute	T	Vexp	
2.463300e+00	141	BMIM	PF6	Meben	  325.30	1.5900	
2.366570e+00	142	BMIM	PF6	Meben	  334.80	1.7100	
2.276623e+00	143	BMIM	PF6	C7ene	  313.15	8.6200	
4.185786e+00	144	BMIM	PF6	C7ene	  323.15	9.4900	
3.931054e+00	145	BMIM	PF6	C7ene	  333.15	9.4100	
3.703317e+00	146	BMIM	PF6	24C5DCO	  315.90	1.1500	
7.997131e-01	147	BMIM	PF6	24C5DCO	  325.30	1.0700	
8.009758e-01	148	BMIM	PF6	24C5DCO	  334.80	1.0300	
8.020409e-01	149	BMIM	PF6	BEO	  334.80	1.9400	
2.620816e+00	150	BMIM	PF6	BEO	  344.30	2.1900	
2.508778e+00	151	BMIM	PF6	BEO	  353.90	2.2000	
2.405630e+00	152	BMIM	PF6	BEO	  363.40	2.1400	
2.312423e+00	153	BMIM	PF6	N222	  313.15	20.2100	
9.053222e+00	154	BMIM	PF6	N222	  323.15	19.3500	
8.209483e+00	155	BMIM	PF6	N222	  333.15	13.9600	
7.483419e+00	156	BMIM	PF6	Oxylene	  313.15	3.9100	
3.640239e+00	157	BMIM	PF6	Oxylene	  323.15	4.2000	
3.443870e+00	158	BMIM	PF6	Oxylene	  333.15	4.5800	
3.266646e+00	159	BMIM	PF6	Oxylene	  315.90	2.3700	
3.584185e+00	160	BMIM	PF6	Oxylene	  325.30	2.2100	
3.404234e+00	161	BMIM	PF6	Oxylene	  334.80	2.2000	
3.239081e+00	162	BMIM	PF6	Mxylene	  313.15	4.8000	
4.003899e+00	163	BMIM	PF6	Mxylene	  323.15	5.1700	
3.771969e+00	164	BMIM	PF6	Mxylene	  333.15	5.5100	
3.563662e+00	165	BMIM	PF6	Mxylene	  315.90	2.3800	
3.937577e+00	166	BMIM	PF6	Mxylene	  325.30	2.4300	
3.725297e+00	167	BMIM	PF6	Mxylene	  334.80	2.3600	
3.531351e+00	168	BMIM	PF6	Pxylene	  313.15	4.5100	
4.022227e+00	169	BMIM	PF6	Pxylene	  323.15	4.9600	
3.788826e+00	170	BMIM	PF6	Pxylene	  333.15	5.2100	
3.579204e+00	171	BMIM	PF6	Pxylene	  315.90	2.2700	
3.955484e+00	172	BMIM	PF6	Pxylene	  325.30	2.2400	
3.741859e+00	173	BMIM	PF6	Pxylene	  334.80	2.2800	
3.546690e+00	174	BMIM	PF6	Etben	  313.15	4.8100	
3.926019e+00	175	BMIM	PF6	Etben	  323.15	5.2600	
3.703509e+00	176	BMIM	PF6	Etben	  333.15	5.7000	
3.503230e+00	177	BMIM	PF6	TRCM	  313.15	1.3000	
1.557739e+00	178	BMIM	PF6	TRCM	  323.15	1.4600	
1.518066e+00	179	BMIM	PF6	TRCM	  333.15	1.6300	
1.480104e+00	180	BMIM	PF6	CCl4	  313.15	5.5100	
6.396075e+00	181	BMIM	PF6	CCl4	  323.15	5.4300	
5.870201e+00	182	BMIM	PF6	CCl4	  333.15	5.8100	
5.411067e+00	
