Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-May-2014

No	Cation	Anion	Solute	T	Vcal	
167	HMIM	MeSO4	DCM	  298.15	0.4768	
168	HMIM	MePO3	DCM	  298.15	0.3764	
169	BMIM	NTF2	DCM	  298.15	0.7500	
170	BMIM	BF4	DCM	  298.15	0.7500	
171	BMIM	PF6	DCM	  298.15	0.4521	
172	BMIM	NFO	DCM	  298.15	0.4521	
173	BMIM	ClO4	DCM	  298.15	0.7331	
174	BMIM	AC	DCM	  298.15	0.3831	
175	BMIM	NO3	DCM	  298.15	0.5558	
176	BMIM	TFA	DCM	  298.15	0.5889	
177	BMIM	TFO	DCM	  298.15	0.5996	
178	BMIM	Cl	DCM	  298.15	0.3416	
179	BMIM	SCN	DCM	  298.15	0.6538	
180	BMIM	DCA	DCM	  298.15	0.6221	
181	BMIM	MeSO3	DCM	  298.15	0.3768	
182	BMIM	HSO4	DCM	  298.15	0.6323	
183	BMIM	BCN4	DCM	  298.15	0.5787	
184	BMIM	BETI	DCM	  298.15	0.4143	
185	BMIM	Tosylate	DCM	  298.15	0.3889	
186	BMIM	FAP	DCM	  298.15	0.4285	
187	BMIM	C8SO4	DCM	  298.15	0.4768	
188	BMIM	MeSO4	DCM	  298.15	0.4768	
189	BMIM	MePO3	DCM	  298.15	0.3764	
190	C16MIM	NTF2	DCM	  298.15	0.3388	
191	C16MIM	BF4	DCM	  298.15	0.3388	
192	C16MIM	PF6	DCM	  298.15	0.2878	
193	C16MIM	NFO	DCM	  298.15	0.2878	
194	C16MIM	ClO4	DCM	  298.15	0.3371	
195	C16MIM	AC	DCM	  298.15	0.2702	
196	C16MIM	NO3	DCM	  298.15	0.3123	
197	C16MIM	TFA	DCM	  298.15	0.3148	
198	C16MIM	TFO	DCM	  298.15	0.3171	
199	C16MIM	Cl	DCM	  298.15	0.2694	
200	C16MIM	SCN	DCM	  298.15	0.3248	
201	C16MIM	DCA	DCM	  298.15	0.3194	
202	C16MIM	MeSO3	DCM	  298.15	0.2645	
203	C16MIM	HSO4	DCM	  298.15	0.3279	
204	C16MIM	BCN4	DCM	  298.15	0.3139	
205	C16MIM	BETI	DCM	  298.15	0.2852	
206	C16MIM	Tosylate	DCM	  298.15	0.2506	
207	C16MIM	FAP	DCM	  298.15	0.3188	
208	C16MIM	C8SO4	DCM	  298.15	0.2850	
209	C16MIM	MeSO4	DCM	  298.15	0.2850	
210	C16MIM	MePO3	DCM	  298.15	0.2603	
211	EMIM	NTF2	DCM	  298.15	0.9814	
212	EMIM	BF4	DCM	  298.15	0.9814	
213	EMIM	PF6	DCM	  298.15	0.5325	
214	EMIM	NFO	DCM	  298.15	0.5325	
215	EMIM	ClO4	DCM	  298.15	0.9693	
216	EMIM	AC	DCM	  298.15	0.3595	
217	EMIM	NO3	DCM	  298.15	0.5636	
218	EMIM	TFA	DCM	  298.15	0.7310	
219	EMIM	TFO	DCM	  298.15	0.7732	
220	EMIM	Cl	DCM	  298.15	0.2448	
221	EMIM	SCN	DCM	  298.15	0.7748	
222	EMIM	DCA	DCM	  298.15	0.7660	
223	EMIM	MeSO3	DCM	  298.15	0.3509	
224	EMIM	HSO4	DCM	  298.15	0.6679	
225	EMIM	BCN4	DCM	  298.15	0.7464	
226	EMIM	BETI	DCM	  298.15	0.4697	
227	EMIM	Tosylate	DCM	  298.15	0.4373	
228	EMIM	FAP	DCM	  298.15	0.4657	
229	EMIM	C8SO4	DCM	  298.15	0.5140	
230	EMIM	MeSO4	DCM	  298.15	0.5140	
231	EMIM	MePO3	DCM	  298.15	0.3755	
232	N8111	NTF2	DCM	  298.15	0.5149	
233	N8111	BF4	DCM	  298.15	0.5149	
234	N8111	PF6	DCM	  298.15	0.3652	
235	N8111	NFO	DCM	  298.15	0.3652	
236	N8111	ClO4	DCM	  298.15	0.5060	
237	N8111	AC	DCM	  298.15	0.3124	
238	N8111	NO3	DCM	  298.15	0.4251	
239	N8111	TFA	DCM	  298.15	0.4285	
240	N8111	TFO	DCM	  298.15	0.4392	
241	N8111	Cl	DCM	  298.15	0.3116	
242	N8111	SCN	DCM	  298.15	0.4691	
