Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-May-2020

No	Cation	Anion	Solute	T	Vexp	iVcal	
144	BMIM	PF6	C7ene	  323.15	9.4900	3.8918	
145	BMIM	PF6	C7ene	  333.15	9.4100	3.6670	
146	BMIM	PF6	24C5DCO	  315.90	1.1500	0.8045	
147	BMIM	PF6	24C5DCO	  325.30	1.0700	0.8055	
148	BMIM	PF6	24C5DCO	  334.80	1.0300	0.8063	
149	BMIM	PF6	BEO	  334.80	1.9400	2.6206	
150	BMIM	PF6	BEO	  344.30	2.1900	2.5081	
151	BMIM	PF6	BEO	  353.90	2.2000	2.4045	
152	BMIM	PF6	BEO	  363.40	2.1400	2.3110	
153	BMIM	PF6	N222	  313.15	20.2100	9.0116	
154	BMIM	PF6	N222	  323.15	19.3500	8.1709	
155	BMIM	PF6	N222	  333.15	13.9600	7.4477	
156	BMIM	PF6	Oxylene	  313.15	3.9100	3.6056	
157	BMIM	PF6	Oxylene	  323.15	4.2000	3.4118	
158	BMIM	PF6	Oxylene	  333.15	4.5800	3.2368	
159	BMIM	PF6	Oxylene	  315.90	2.3700	3.5503	
160	BMIM	PF6	Oxylene	  325.30	2.2100	3.3726	
161	BMIM	PF6	Oxylene	  334.80	2.2000	3.2096	
162	BMIM	PF6	Mxylene	  313.15	4.8000	3.9658	
163	BMIM	PF6	Mxylene	  323.15	5.1700	3.7368	
164	BMIM	PF6	Mxylene	  333.15	5.5100	3.5311	
165	BMIM	PF6	Mxylene	  315.90	2.3800	3.9004	
166	BMIM	PF6	Mxylene	  325.30	2.4300	3.6907	
167	BMIM	PF6	Mxylene	  334.80	2.3600	3.4991	
168	BMIM	PF6	Pxylene	  313.15	4.5100	3.9840	
169	BMIM	PF6	Pxylene	  323.15	4.9600	3.7535	
170	BMIM	PF6	Pxylene	  333.15	5.2100	3.5465	
171	BMIM	PF6	Pxylene	  315.90	2.2700	3.9181	
172	BMIM	PF6	Pxylene	  325.30	2.2400	3.7071	
173	BMIM	PF6	Pxylene	  334.80	2.2800	3.5144	
174	BMIM	PF6	Etben	  313.15	4.8100	3.8886	
175	BMIM	PF6	Etben	  323.15	5.2600	3.6689	
176	BMIM	PF6	Etben	  333.15	5.7000	3.4711	
177	BMIM	PF6	TRCM	  313.15	1.3000	1.5473	
178	BMIM	PF6	TRCM	  323.15	1.4600	1.5081	
179	BMIM	PF6	TRCM	  333.15	1.6300	1.4705	
180	BMIM	PF6	CCl4	  313.15	5.5100	6.3555	
181	BMIM	PF6	CCl4	  323.15	5.4300	5.8332	
182	BMIM	PF6	CCl4	  333.15	5.8100	5.3772	
